category,title,resource,region,statusWord,message
Storage Accounts,Storage Accounts AAD Enabled,N/A,germanywestcentral,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,germanynorth,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,switzerlandnorth,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,switzerlandwest,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,norwaywest,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,norwayeast,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,japanwest,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,japaneast,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,brazilsouth,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,australiaeast,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,australiasoutheast,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,southindia,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,centralindia,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,westindia,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,canadacentral,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,canadaeast,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,uksouth,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,ukwest,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,westcentralus,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,westus2,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,koreacentral,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,koreasouth,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,francecentral,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,francesouth,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,australiacentral,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,australiacentral2,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,southafricanorth,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,southafricawest,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,uaenorth,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,uaecentral,OK,No storage accounts found
Storage Accounts,Storage Accounts AAD Enabled,N/A,global,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,eastasia,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,southeastasia,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,centralus,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,eastus,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,eastus2,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,westus,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,northcentralus,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,southcentralus,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,northeurope,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,westeurope,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,germanycentral,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,germanynortheast,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,germanywestcentral,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,germanynorth,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,switzerlandnorth,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,switzerlandwest,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,norwaywest,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,norwayeast,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,japanwest,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,japaneast,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,brazilsouth,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,australiaeast,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,australiasoutheast,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,southindia,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,centralindia,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,westindia,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,canadacentral,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,canadaeast,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,uksouth,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,ukwest,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,westcentralus,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,westus2,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,koreacentral,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,koreasouth,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,francecentral,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,francesouth,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,australiacentral,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,australiacentral2,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,southafricanorth,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,southafricawest,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,uaenorth,OK,No storage accounts found
Storage Accounts,Blob Service Encryption,N/A,uaecentral,OK,No storage accounts found
